Id,Question,Answer
0,What is the capital of France?,Paris
1,Who wrote 'Romeo and Juliet'?,William Shakespeare
2,What is the chemical symbol for water?,H2O
3,What is the largest planet in our solar system?,Jupiter
4,Who painted the Mona Lisa?,Leonardo da Vinci
5,What is the tallest mountain in the world?,Mount Everest
6,What is the currency of Japan?,Yen
7,Who discovered penicillin?,Alexander Fleming
8,What is the speed of light in a vacuum?,"299,792,458 meters per second"
9,What is the powerhouse of the cell?,Mitochondria
10,What year did World War II end?,1945
11,Who composed 'For Elise'?,Ludwig van Beethoven
12,What is the main ingredient in guacamole?,Avocado
13,What is the longest river in the world?,Nile
14,What is the square root of 64?,8
15,What is the largest ocean on Earth?,Pacific Ocean
16,Who is known as the father of modern physics?,Albert Einstein
17,What is the chemical formula for table salt?,NaCl
18,What is the freezing point of water in Celsius?,0 degrees Celsius
19,Who was the first person to step on the moon?,Neil Armstrong
